test, class, N, time
ArrayList vs LinkedList (add), ArrayList,10000,13779642
ArrayList vs LinkedList (add), ArrayList,20000,193262958
ArrayList vs LinkedList (add), ArrayList,30000,232357638
ArrayList vs LinkedList (add), ArrayList,40000,349033020
ArrayList vs LinkedList (add), ArrayList,50000,502111876
ArrayList vs LinkedList (add), ArrayList,60000,620353570
ArrayList vs LinkedList (add), ArrayList,70000,902579587
ArrayList vs LinkedList (add), ArrayList,80000,1186903210
ArrayList vs LinkedList (add), ArrayList,90000,1476736750
ArrayList vs LinkedList (add), ArrayList,100000,1735537931
ArrayList vs LinkedList (add), LinkedList,10000,84040255
ArrayList vs LinkedList (add), LinkedList,20000,255655747
ArrayList vs LinkedList (add), LinkedList,30000,382369134
ArrayList vs LinkedList (add), LinkedList,40000,512617574
ArrayList vs LinkedList (add), LinkedList,50000,664617047
ArrayList vs LinkedList (add), LinkedList,60000,886730322
ArrayList vs LinkedList (add), LinkedList,70000,1016121727
ArrayList vs LinkedList (add), LinkedList,80000,1170169462
ArrayList vs LinkedList (add), LinkedList,90000,1296753057
ArrayList vs LinkedList (add), LinkedList,100000,1451045919
ArrayList vs LinkedList (get), ArrayList,10000,99298
ArrayList vs LinkedList (get), ArrayList,20000,2477407
ArrayList vs LinkedList (get), ArrayList,30000,8057217
ArrayList vs LinkedList (get), ArrayList,40000,8910305
ArrayList vs LinkedList (get), ArrayList,50000,11065409
ArrayList vs LinkedList (get), ArrayList,60000,13914572
ArrayList vs LinkedList (get), ArrayList,70000,14779460
ArrayList vs LinkedList (get), ArrayList,80000,15858016
ArrayList vs LinkedList (get), ArrayList,90000,17866479
ArrayList vs LinkedList (get), ArrayList,100000,19092355
ArrayList vs LinkedList (get), LinkedList,10000,147989173
ArrayList vs LinkedList (get), LinkedList,20000,281717932
ArrayList vs LinkedList (get), LinkedList,30000,446021064
ArrayList vs LinkedList (get), LinkedList,40000,582944001
ArrayList vs LinkedList (get), LinkedList,50000,712907802
ArrayList vs LinkedList (get), LinkedList,60000,835566073
ArrayList vs LinkedList (get), LinkedList,70000,967775945
ArrayList vs LinkedList (get), LinkedList,80000,1096389836
ArrayList vs LinkedList (get), LinkedList,90000,1220922188
ArrayList vs LinkedList (get), LinkedList,100000,1349257554
ArrayList vs LinkedList (indexOf), ArrayList,10000,567053108
ArrayList vs LinkedList (indexOf), ArrayList,20000,1043909381
ArrayList vs LinkedList (indexOf), ArrayList,30000,1526931192
ArrayList vs LinkedList (indexOf), ArrayList,40000,2018781953
ArrayList vs LinkedList (indexOf), ArrayList,50000,2519345767
ArrayList vs LinkedList (indexOf), ArrayList,60000,3027722855
ArrayList vs LinkedList (indexOf), ArrayList,70000,3508230716
ArrayList vs LinkedList (indexOf), ArrayList,80000,3888058738
ArrayList vs LinkedList (indexOf), ArrayList,90000,4316865478
ArrayList vs LinkedList (indexOf), ArrayList,100000,4710332673
ArrayList vs LinkedList (indexOf), LinkedList,10000,700396248
ArrayList vs LinkedList (indexOf), LinkedList,20000,1332956137
ArrayList vs LinkedList (indexOf), LinkedList,30000,2020137782
ArrayList vs LinkedList (indexOf), LinkedList,40000,2764505495
ArrayList vs LinkedList (indexOf), LinkedList,50000,3460904554
ArrayList vs LinkedList (indexOf), LinkedList,60000,4168117247
ArrayList vs LinkedList (indexOf), LinkedList,70000,4829662582
ArrayList vs LinkedList (indexOf), LinkedList,80000,5543477231
ArrayList vs LinkedList (indexOf), LinkedList,90000,6268468459
ArrayList vs LinkedList (indexOf), LinkedList,100000,6948086401
ArrayList vs LinkedList (mix), ArrayList,10000,290426951
ArrayList vs LinkedList (mix), ArrayList,20000,630782876
ArrayList vs LinkedList (mix), ArrayList,30000,1006269714
ArrayList vs LinkedList (mix), ArrayList,40000,1400220821
ArrayList vs LinkedList (mix), ArrayList,50000,1809743595
ArrayList vs LinkedList (mix), ArrayList,60000,2287417651
ArrayList vs LinkedList (mix), ArrayList,70000,2715090590
ArrayList vs LinkedList (mix), ArrayList,80000,3057027358
ArrayList vs LinkedList (mix), ArrayList,90000,3586543689
ArrayList vs LinkedList (mix), ArrayList,100000,3962738722
ArrayList vs LinkedList (mix), LinkedList,10000,315971945
ArrayList vs LinkedList (mix), LinkedList,20000,708078101
ArrayList vs LinkedList (mix), LinkedList,30000,1195723995
ArrayList vs LinkedList (mix), LinkedList,40000,1714017584
ArrayList vs LinkedList (mix), LinkedList,50000,2282960768
ArrayList vs LinkedList (mix), LinkedList,60000,2889121080
ArrayList vs LinkedList (mix), LinkedList,70000,3466499617
ArrayList vs LinkedList (mix), LinkedList,80000,4023376607
ArrayList vs LinkedList (mix), LinkedList,90000,4681131810
ArrayList vs LinkedList (mix), LinkedList,100000,5265057979
ArrayList vs LinkedList (remove), ArrayList,10000,231811481
ArrayList vs LinkedList (remove), ArrayList,20000,472735316
ArrayList vs LinkedList (remove), ArrayList,30000,655589173
ArrayList vs LinkedList (remove), ArrayList,40000,793096331
ArrayList vs LinkedList (remove), ArrayList,50000,908914255
ArrayList vs LinkedList (remove), ArrayList,60000,1006317010
ArrayList vs LinkedList (remove), ArrayList,70000,1079521957
ArrayList vs LinkedList (remove), ArrayList,80000,1133967736
ArrayList vs LinkedList (remove), ArrayList,90000,1178284193
ArrayList vs LinkedList (remove), ArrayList,100000,1204619316
ArrayList vs LinkedList (remove), LinkedList,10000,177785384
ArrayList vs LinkedList (remove), LinkedList,20000,305018305
ArrayList vs LinkedList (remove), LinkedList,30000,450187866
ArrayList vs LinkedList (remove), LinkedList,40000,569325865
ArrayList vs LinkedList (remove), LinkedList,50000,701834745
ArrayList vs LinkedList (remove), LinkedList,60000,823778090
ArrayList vs LinkedList (remove), LinkedList,70000,960054011
ArrayList vs LinkedList (remove), LinkedList,80000,1093196362
ArrayList vs LinkedList (remove), LinkedList,90000,1223952831
ArrayList vs LinkedList (remove), LinkedList,100000,1356730797
