test, class, N, time
add, HashMap,10000,4258150
add, HashMap,20000,9224726
add, HashMap,30000,10958523
add, HashMap,40000,12805523
add, HashMap,50000,14916985
add, HashMap,60000,17272011
add, HashMap,70000,21441418
add, HashMap,80000,25725163
add, HashMap,90000,29762744
add, HashMap,100000,34290146
add, LinkedHashMap,10000,8490182
add, LinkedHashMap,20000,17940191
add, LinkedHashMap,30000,23588914
add, LinkedHashMap,40000,27757695
add, LinkedHashMap,50000,33022327
add, LinkedHashMap,60000,50891229
add, LinkedHashMap,70000,56520531
add, LinkedHashMap,80000,62130095
add, LinkedHashMap,90000,70825316
add, LinkedHashMap,100000,81957003
add, TreeMap,10000,22010229
add, TreeMap,20000,35072535
add, TreeMap,30000,45381361
add, TreeMap,40000,57621513
add, TreeMap,50000,64200183
add, TreeMap,60000,73437355
add, TreeMap,70000,80824787
add, TreeMap,80000,89200681
add, TreeMap,90000,95597564
add, TreeMap,100000,140596381
contains, HashMap,10000,584098
contains, HashMap,20000,1832246
contains, HashMap,30000,2669639
contains, HashMap,40000,3342234
contains, HashMap,50000,4306860
contains, HashMap,60000,5357546
contains, HashMap,70000,6365137
contains, HashMap,80000,7310542
contains, HashMap,90000,7969096
contains, HashMap,100000,8661669
contains, LinkedHashMap,10000,873366
contains, LinkedHashMap,20000,2180306
contains, LinkedHashMap,30000,2927232
contains, LinkedHashMap,40000,3837214
contains, LinkedHashMap,50000,4461611
contains, LinkedHashMap,60000,5002641
contains, LinkedHashMap,70000,6128265
contains, LinkedHashMap,80000,6921709
contains, LinkedHashMap,90000,7586489
contains, LinkedHashMap,100000,8253137
contains, TreeMap,10000,4905596
contains, TreeMap,20000,10017099
contains, TreeMap,30000,13702237
contains, TreeMap,40000,17115502
contains, TreeMap,50000,21043966
contains, TreeMap,60000,25518931
contains, TreeMap,70000,28065224
contains, TreeMap,80000,32335326
contains, TreeMap,90000,35931128
contains, TreeMap,100000,39505513
remove, HashMap,10000,3573794
remove, HashMap,20000,6051467
remove, HashMap,30000,7145349
remove, HashMap,40000,7748756
remove, HashMap,50000,8637929
remove, HashMap,60000,9621609
remove, HashMap,70000,11045045
remove, HashMap,80000,12111639
remove, HashMap,90000,13266626
remove, HashMap,100000,14212872
remove, LinkedHashMap,10000,1324077
remove, LinkedHashMap,20000,2595036
remove, LinkedHashMap,30000,3618460
remove, LinkedHashMap,40000,4740945
remove, LinkedHashMap,50000,5927680
remove, LinkedHashMap,60000,6453400
remove, LinkedHashMap,70000,7224783
remove, LinkedHashMap,80000,7772608
remove, LinkedHashMap,90000,8301496
remove, LinkedHashMap,100000,8815326
remove, TreeMap,10000,11120073
remove, TreeMap,20000,15694457
remove, TreeMap,30000,21162543
remove, TreeMap,40000,24057074
remove, TreeMap,50000,27025431
remove, TreeMap,60000,29628508
remove, TreeMap,70000,32035568
remove, TreeMap,80000,33612164
remove, TreeMap,90000,35349071
remove, TreeMap,100000,36599747
mix, HashMap,10000,640394
mix, HashMap,20000,2723487
mix, HashMap,30000,3915635
mix, HashMap,40000,4663899
mix, HashMap,50000,5946393
mix, HashMap,60000,7866684
mix, HashMap,70000,9764936
mix, HashMap,80000,11506616
mix, HashMap,90000,13316637
mix, HashMap,100000,14617297
mix, LinkedHashMap,10000,1247087
mix, LinkedHashMap,20000,2724196
mix, LinkedHashMap,30000,4164658
mix, LinkedHashMap,40000,5590754
mix, LinkedHashMap,50000,7067896
mix, LinkedHashMap,60000,8684801
mix, LinkedHashMap,70000,9661248
mix, LinkedHashMap,80000,11406557
mix, LinkedHashMap,90000,13120006
mix, LinkedHashMap,100000,14370528
mix, TreeMap,10000,5862739
mix, TreeMap,20000,9808301
mix, TreeMap,30000,13543476
mix, TreeMap,40000,16860803
mix, TreeMap,50000,19464336
mix, TreeMap,60000,23030781
mix, TreeMap,70000,26481922
mix, TreeMap,80000,29579355
mix, TreeMap,90000,33144813
mix, TreeMap,100000,36621102
