test, class, N, time
MyLinkedLis vs LinkedList (add), MyLinkedLis,10000,63862086
MyLinkedLis vs LinkedList (add), MyLinkedLis,20000,173595904
MyLinkedLis vs LinkedList (add), MyLinkedLis,30000,336552990
MyLinkedLis vs LinkedList (add), MyLinkedLis,40000,507155229
MyLinkedLis vs LinkedList (add), MyLinkedLis,50000,630761624
MyLinkedLis vs LinkedList (add), MyLinkedLis,60000,752385746
MyLinkedLis vs LinkedList (add), MyLinkedLis,70000,873668552
MyLinkedLis vs LinkedList (add), MyLinkedLis,80000,989255052
MyLinkedLis vs LinkedList (add), MyLinkedLis,90000,1102105523
MyLinkedLis vs LinkedList (add), MyLinkedLis,100000,1203521028
MyLinkedLis vs LinkedList (add), StupidMyLinkedList,10000,80914090
MyLinkedLis vs LinkedList (add), StupidMyLinkedList,20000,202353173
MyLinkedLis vs LinkedList (add), StupidMyLinkedList,30000,320770386
MyLinkedLis vs LinkedList (add), StupidMyLinkedList,40000,458468417
MyLinkedLis vs LinkedList (add), StupidMyLinkedList,50000,573260038
MyLinkedLis vs LinkedList (add), StupidMyLinkedList,60000,690482985
MyLinkedLis vs LinkedList (add), StupidMyLinkedList,70000,799126877
MyLinkedLis vs LinkedList (add), StupidMyLinkedList,80000,914268525
MyLinkedLis vs LinkedList (add), StupidMyLinkedList,90000,1045063306
MyLinkedLis vs LinkedList (add), StupidMyLinkedList,100000,1163124234
MyLinkedLis vs LinkedList (add), LinkedList,10000,56312203
MyLinkedLis vs LinkedList (add), LinkedList,20000,158764413
MyLinkedLis vs LinkedList (add), LinkedList,30000,253900132
MyLinkedLis vs LinkedList (add), LinkedList,40000,349891976
MyLinkedLis vs LinkedList (add), LinkedList,50000,454807751
MyLinkedLis vs LinkedList (add), LinkedList,60000,550881337
MyLinkedLis vs LinkedList (add), LinkedList,70000,654480333
MyLinkedLis vs LinkedList (add), LinkedList,80000,773919197
MyLinkedLis vs LinkedList (add), LinkedList,90000,872150429
MyLinkedLis vs LinkedList (add), LinkedList,100000,977617797
MyLinkedLis vs LinkedList (add), circleCachedList,10000,1383873687
MyLinkedLis vs LinkedList (add), circleCachedList,20000,3702060128
MyLinkedLis vs LinkedList (add), circleCachedList,30000,5961776830
MyLinkedLis vs LinkedList (add), circleCachedList,40000,8203887225
MyLinkedLis vs LinkedList (add), circleCachedList,50000,10371514039
MyLinkedLis vs LinkedList (add), circleCachedList,60000,12512038462
MyLinkedLis vs LinkedList (add), circleCachedList,70000,14693834582
MyLinkedLis vs LinkedList (add), circleCachedList,80000,16953008538
MyLinkedLis vs LinkedList (add), circleCachedList,90000,19167521038
MyLinkedLis vs LinkedList (add), circleCachedList,100000,21382825375
MyLinkedLis vs LinkedList (get), StupidMyLinkedList,10000,58315125
MyLinkedLis vs LinkedList (get), StupidMyLinkedList,20000,120958510
MyLinkedLis vs LinkedList (get), StupidMyLinkedList,30000,170701123
MyLinkedLis vs LinkedList (get), StupidMyLinkedList,40000,219288838
MyLinkedLis vs LinkedList (get), StupidMyLinkedList,50000,266798384
MyLinkedLis vs LinkedList (get), StupidMyLinkedList,60000,318916656
MyLinkedLis vs LinkedList (get), StupidMyLinkedList,70000,371221883
MyLinkedLis vs LinkedList (get), StupidMyLinkedList,80000,418698650
MyLinkedLis vs LinkedList (get), StupidMyLinkedList,90000,468135084
MyLinkedLis vs LinkedList (get), StupidMyLinkedList,100000,517124613
MyLinkedLis vs LinkedList (get), MyLinkedLis,10000,70624646
MyLinkedLis vs LinkedList (get), MyLinkedLis,20000,122256982
MyLinkedLis vs LinkedList (get), MyLinkedLis,30000,170506380
MyLinkedLis vs LinkedList (get), MyLinkedLis,40000,218242139
MyLinkedLis vs LinkedList (get), MyLinkedLis,50000,266123146
MyLinkedLis vs LinkedList (get), MyLinkedLis,60000,317508689
MyLinkedLis vs LinkedList (get), MyLinkedLis,70000,368634699
MyLinkedLis vs LinkedList (get), MyLinkedLis,80000,417851293
MyLinkedLis vs LinkedList (get), MyLinkedLis,90000,467063616
MyLinkedLis vs LinkedList (get), MyLinkedLis,100000,515964201
MyLinkedLis vs LinkedList (get), LinkedList,10000,47931509
MyLinkedLis vs LinkedList (get), LinkedList,20000,100079724
MyLinkedLis vs LinkedList (get), LinkedList,30000,151715029
MyLinkedLis vs LinkedList (get), LinkedList,40000,198780212
MyLinkedLis vs LinkedList (get), LinkedList,50000,245421542
MyLinkedLis vs LinkedList (get), LinkedList,60000,296910401
MyLinkedLis vs LinkedList (get), LinkedList,70000,344038840
MyLinkedLis vs LinkedList (get), LinkedList,80000,389787139
MyLinkedLis vs LinkedList (get), LinkedList,90000,435100217
