test, class, N, time
add, HashSet,10000,3258488
add, HashSet,20000,10533408
add, HashSet,30000,14267874
add, HashSet,40000,18529430
add, HashSet,50000,25492847
add, HashSet,60000,30770055
add, HashSet,70000,35296925
add, HashSet,80000,38842722
add, HashSet,90000,42629333
add, HashSet,100000,48099731
add, LinkedHashSet,10000,2278825
add, LinkedHashSet,20000,8349347
add, LinkedHashSet,30000,11184647
add, LinkedHashSet,40000,14399114
add, LinkedHashSet,50000,20153690
add, LinkedHashSet,60000,23263220
add, LinkedHashSet,70000,39269267
add, LinkedHashSet,80000,44368902
add, LinkedHashSet,90000,49836783
add, LinkedHashSet,100000,53592962
add, TreeSet,10000,16327314
add, TreeSet,20000,33369233
add, TreeSet,30000,37449379
add, TreeSet,40000,41023644
add, TreeSet,50000,44010433
add, TreeSet,60000,46996910
add, TreeSet,70000,49644674
add, TreeSet,80000,53130271
add, TreeSet,90000,56567543
add, TreeSet,100000,60561354
contains, HashSet,10000,2182900
contains, HashSet,20000,4605558
contains, HashSet,30000,6844731
contains, HashSet,40000,8835816
contains, HashSet,50000,11148751
contains, HashSet,60000,12934390
contains, HashSet,70000,15088863
contains, HashSet,80000,17187920
contains, HashSet,90000,20471163
contains, HashSet,100000,22652914
contains, LinkedHashSet,10000,1123381
contains, LinkedHashSet,20000,3469365
contains, LinkedHashSet,30000,5802983
contains, LinkedHashSet,40000,7901721
contains, LinkedHashSet,50000,10510882
contains, LinkedHashSet,60000,11956397
contains, LinkedHashSet,70000,13456382
contains, LinkedHashSet,80000,14891697
contains, LinkedHashSet,90000,16597659
contains, LinkedHashSet,100000,18439946
contains, TreeSet,10000,9070039
contains, TreeSet,20000,13554368
contains, TreeSet,30000,18371407
contains, TreeSet,40000,30464751
contains, TreeSet,50000,36065869
contains, TreeSet,60000,41400724
contains, TreeSet,70000,45462045
contains, TreeSet,80000,48577776
contains, TreeSet,90000,51821587
contains, TreeSet,100000,55109885
remove, HashSet,10000,5822398
remove, HashSet,20000,8241062
remove, HashSet,30000,9986994
remove, HashSet,40000,11639758
remove, HashSet,50000,13452162
remove, HashSet,60000,14673913
remove, HashSet,70000,15981386
remove, HashSet,80000,17626763
remove, HashSet,90000,18896296
remove, HashSet,100000,20484145
remove, LinkedHashSet,10000,2272262
remove, LinkedHashSet,20000,4240872
remove, LinkedHashSet,30000,5286218
remove, LinkedHashSet,40000,6146085
remove, LinkedHashSet,50000,6966222
remove, LinkedHashSet,60000,8138325
remove, LinkedHashSet,70000,9774966
remove, LinkedHashSet,80000,11592826
remove, LinkedHashSet,90000,13167214
remove, LinkedHashSet,100000,15425162
remove, TreeSet,10000,6231764
remove, TreeSet,20000,11648982
remove, TreeSet,30000,14354906
remove, TreeSet,40000,16655508
remove, TreeSet,50000,19002966
remove, TreeSet,60000,21238113
remove, TreeSet,70000,22718442
remove, TreeSet,80000,24281080
remove, TreeSet,90000,26495518
remove, TreeSet,100000,27767547
mix, HashSet,10000,2981026
mix, HashSet,20000,6118982
mix, HashSet,30000,10066640
mix, HashSet,40000,13012147
mix, HashSet,50000,15861283
mix, HashSet,60000,18062795
mix, HashSet,70000,19629776
mix, HashSet,80000,22252560
mix, HashSet,90000,25507722
mix, HashSet,100000,28136257
mix, LinkedHashSet,10000,1540530
mix, LinkedHashSet,20000,3759448
mix, LinkedHashSet,30000,5923704
mix, LinkedHashSet,40000,8236381
mix, LinkedHashSet,50000,10567691
mix, LinkedHashSet,60000,12072952
mix, LinkedHashSet,70000,14544922
mix, LinkedHashSet,80000,18726988
mix, LinkedHashSet,90000,21893957
mix, LinkedHashSet,100000,26685921
mix, TreeSet,10000,3934494
mix, TreeSet,20000,7571479
mix, TreeSet,30000,12476632
mix, TreeSet,40000,16909118
mix, TreeSet,50000,20963200
mix, TreeSet,60000,26165786
mix, TreeSet,70000,30608660
mix, TreeSet,80000,36531915
mix, TreeSet,90000,41494049
mix, TreeSet,100000,46465045
